city,neighbourhood,total_count,average_price
Bangkok,Min Buri,35,1037.89
New York,Longwood,35,81.54
Rio de Janeiro,Santa Teresa,35,1707.57
New York,Downtown Brooklyn,35,160.31
New York,Corona,35,56.17
Cape Town,Ward 63,35,420.89
Rio de Janeiro,Vargem Grande,34,213.5
New York,Concourse,34,69.32
Hong Kong,Central & Western,34,740.35
Bangkok,Bangkok Yai,34,2076.94
New York,Rockaway Beach,34,156.91
Rio de Janeiro,Urca,34,336.38
Rio de Janeiro,Centro,33,353.06
New York,Mott Haven,33,123.55
Bangkok,Din Daeng,33,442.09
New York,Queens Village,33,180.97
New York,Lower East Side,33,79.45
Bangkok,Khlong Toei,33,901.67
Bangkok,Min Buri,33,4704.45
New York,Cypress Hills,33,303.52
Rio de Janeiro,Botafogo,33,186.94
New York,Bensonhurst,32,106.38
Paris,Reuilly,32,101.38
New York,Kingsbridge,32,74.53
Sydney,Rockdale,32,79.19
Rio de Janeiro,Cosme Velho,32,256.53
Sydney,Holroyd,32,191.97
Rome,XII Monte Verde,32,44.44
New York,Bushwick,32,40.34
New York,Flatlands,32,74.81
Istanbul,Uskudar,31,159.65
Istanbul,Buyukcekmece,31,346.45
New York,Gravesend,31,118.81
Cape Town,Ward 112,31,855.13
Istanbul,Silivri,31,2198.81
Hong Kong,Yuen Long,31,594.52
Paris,Temple,31,430.9
Paris,Buttes-Montmartre,31,62.42
Bangkok,Saphan Sung,31,1719.29
Bangkok,Phaya Thai,31,738.48
Cape Town,Ward 63,31,890.19
Rio de Janeiro,Pechincha,31,585.77
Cape Town,Ward 5,31,716.23
Rio de Janeiro,Jardim Guanabara,31,132.84
New York,Rego Park,30,160.8
New York,Upper West Side,30,87.77
Mexico City,Miguel Hidalgo,30,514.77
Hong Kong,Sha Tin,30,597.03
Paris,Menilmontant,30,36
Rio de Janeiro,Barra da Tijuca,30,576.53
New York,Glendale,30,46.47
Bangkok,Rat Burana,30,1745.9
Rio de Janeiro,Curicica,30,655.03
Bangkok,Sai Mai,30,846.2
Cape Town,Ward 3,29,726.79
Rio de Janeiro,Alto da Boa Vista,29,6439.66
Bangkok,Khan Na Yao,29,1557.79
New York,Fort Hamilton,29,134.07
Bangkok,Bueng Kum,29,2474
New York,Bensonhurst,29,55.97
Istanbul,Cekmekoy,29,542.28
Bangkok,Dusit,29,8474.83
New York,Fordham,29,64.62
Istanbul,Cekmekoy,29,354.83
New York,Gravesend,29,65
Sydney,Camden,28,84.07
New York,Maspeth,28,142.14
Mexico City,Tlahuac,28,355.21
Rio de Janeiro,Vidigal,28,119.61
Mexico City,Benito Juarez,28,1099.68
Rio de Janeiro,Praca da Bandeira,28,838.86
New York,Richmond Hill,28,136.11
Istanbul,Kagithane,28,134
Hong Kong,Southern,28,1628.14
New York,Mott Haven,28,84.07
Bangkok,Lat Phrao,28,3495.39
Bangkok,Huai Khwang,28,431.18
